,YEAR,EIND,TATM,iter,orig_sol,sim_ssp,sim_damages,sim_ecs
273,2220,0.11234153825614993,1.3533755722,4,Inequality,1,1,2.500000
274,2225,0.18477344713288996,1.3503015545,4,Inequality,1,1,2.500000
275,2230,0.2511776083252601,1.3474942529,4,Inequality,1,1,2.500000
276,2235,0.3128688256340501,1.3449141539,4,Inequality,1,1,2.500000
277,2240,0.37021390445314994,1.342527354,4,Inequality,1,1,2.500000
278,2245,0.4243055124948861,1.340308874,4,Inequality,1,1,2.500000
279,2250,0.47660453447751994,1.3382381234,4,Inequality,1,1,2.500000
280,2255,0.5282740620037601,1.3363004691,4,Inequality,1,1,2.500000
281,2260,0.5795906950171098,1.3344884173,4,Inequality,1,1,2.500000
282,2265,0.6340319398749601,1.3328000841,4,Inequality,1,1,2.500000
283,2270,0.693178100480749,1.3312351192,4,Inequality,1,1,2.500000
284,2275,0.7626843849117101,1.329806901,4,Inequality,1,1,2.500000
285,2280,0.84818252455662,1.3285359669,4,Inequality,1,1,2.500000
286,2285,0.9666082889282397,1.3274649094,4,Inequality,1,1,2.500000
287,2290,1.3462707728197398,1.3266592063,4,Inequality,1,1,2.500000
288,2295,1.5082630120573401,1.3262510827,4,Inequality,1,1,2.500000
289,2300,1.50697793986602,1.3272840002,4,Inequality,1,1,2.500000
290,2015,35.04326754965099,0.85,5,Temperature,5,6,2.500000
291,2020,37.763445711626,1.1181170528,5,Temperature,5,6,2.500000
292,2025,34.30814974003201,1.2613545248,5,Temperature,5,6,2.500000
293,2030,29.126647570402998,1.3794626438,5,Temperature,5,6,2.500000
294,2035,21.3729767827142,1.4739177938,5,Temperature,5,6,2.500000
295,2040,11.028012982579202,1.5438572371,5,Temperature,5,6,2.500000
296,2045,0.96089072119523,1.5838318441,5,Temperature,5,6,2.500000
297,2050,0.92743990548993,1.5868785341,5,Temperature,5,6,2.500000
298,2055,0.9129208684785,1.5548715747,5,Temperature,5,6,2.500000
299,2060,0.3266415590225219,1.5248225905,5,Temperature,5,6,2.500000
